text,label
อ้าวมาสด้า,2
อยากแดก55,0
ป่ะ ไปทานกัน,0
ไอ่สัสบุหรี่ไฟฟ้าอันเดียว,1
อันนี้มันไม่บุฟง่ะ555555,1
โคตรแย่,1
แม่งควายล้วนนน,1
มะ,2
เอาแบบนี้,2
กินไปเรื่อยๆจะอ้วก,1
เอาเวลาไหนไปกิน จะตายอยู่แล่วววว,1
อย่าให้เป็นแบบลูกเบียร์ช้างเสียละ,1
มีช้างป่ะไม่กินลีโอเด้ออีหล่า,1
เพราะเหล้าเรดปลอม เน๊อะ,1
ทีเด็ดๆ,2
จัดสักหน่อยไม,0
ว้าวววว ^^,0
อยากกินบาร์บีก้อน,0
จร้าา,2
เลี้ยงด้วย,2
อุด้งพี่,2
🤘😎,2
ห่ะ เนื้อเป็นฝี,1
โหวตเอ็นชาบูเว้ย,0
จะกินเอมเค,2
ประเด็นกูยิ่งไม่กินเบียร์ยู,1
อินนิสฟรีไม่ซื้อละ เก็บตัง,1
วันว่างๆๆ,2
ไม่ค่ะ มันขม กินแล้วผื่นขึ้น,1
สักวันเถอะ,0
วันไหนคับ,2
หาชุดแพงกว่าไปกินอีกกุว่า55,1
บาบีก้อนไง กลัว...,1
ปะ,0
ถึงกับกินไม่ลงบาบีก้อน,1
ไม่ชอบนิสสัน,1
ต้องไปลองค่ะ,0
อยากกินนมยูนิคอร์น,0
อินนิสฟรีนี่วนวโกแบบหลอก,1
รักก้อนนะ,0
เลี้ยงตัวเองก่อนอะไอ้สัส,1
แงงงง,2
ติมอร่อย,0
ไปกินไหม,2
บอกพ่อ,2
ไม่มีค่าา,2
ลองป่ะละ,2
เขียนกฎหมายแบบหัวดอ,1
อิอิ,0
เดี๋ยวนี้หม้อแม่งมี 4 น้ำ,1
ลิปมินิetudeแม่งมินิจริงๆ55555,1
เงินออก28,2
เอาไง วันไหน,0
มาสด้าจะแซงฮอนด้าอยู่แล้ว,1
อยากได้,0
กินๆๆๆๆๆ,0
ไม่กินจบ,1
รอก่อนนนน,2
กินป่ะ,0
พี่หยุดอะ,2
อยากกินอันนี้อ่าา,0
จับบุหรี่ไฟฟ้า ยึดรถ????,1
แปดริ้ว,2
อร่อยจนตัวบวม🙊🤫,0
ร่วมค่ะ ^^,2
เด่วพาไปกินน่ะจ่ะ,0
ขอโปรโดนๆ,0
🙌🙌🙌🙌🙌,0
เลิศ!ชอบมากคร่ๅๅๅ,0
ปะวันไหน,0
พิษณุโลกไม่เหงมีกับเค้าเลย,1
55 อยากกก,2
น่าใช้ อย่างน้อยก็สวยกว่ายาริส,1
แชร์คะ,2
ไปถามพนักงาน บอกราคาปกติ,1
ช่าย,2
เด็กๆ,2
หูยยยยยย,0
พอแล้วนะเบียร์ช้าง. กูขยาด,1
เห็นหน้าแล้ว จะกระทืบว่ะ,1
ไปค่ะ พี่ !,0
แวะๆ,2
บ่แซ่บ หม็น,1
หิวเด้อ,2
แพทไปรายการไหนก็จะเอาDr.jillมา,1
พระราม9,2
ไปสิครับบบบบ,0
สะอาดดีไม่เปนนิ่ว,0
วันนี้ไหม,2
ไปกินกันเหอะ,0
กูเลิกกินสิงห์,1
อยากกินชิมิ,0
หมีซื้อออ,2
ป่ะ ไปกันนะ,0
เรามี3,2
อยากเอมเค,0
หิวหรอ,2
สู้ ๆ ครับ,0
ป่ะลองกัน,0
เออ จบ,2
จะกินนๆ555,0
พี่ต้าไง,2
ส่งช้าไป,1
หิว555,2
ป้าควรกิน.,2
อุ้ตะ!!,2
ดีนะเราไม่กินเบียร์ช้าง555,1
accord ใหม่เหมือนรถไปชนมา,1
ป่ะ จัดมั้ยๆ,0
น่ากินมากๆ,0
5555 พนๆ,2
โคราช,2
วันไหนๆ,0
คนเลวววววววว55555 บ้านคือไร,1
เอสเพอนาดรัชดาไม่ลดค่ะ T T,1
กินไหม,2
หวังว่า show dc คงไม่ตุ๋นเราอีก,1
อยากกิน เอ็มเค.,0
ไปที่เพชรหรอ,0
อยากกิน,0
ไม่อยากกินเรดอะ,1
หนีช้าง มากินลีโอ5555,1
ต้องจัดดด,0
กุไม่แดกน้ำดำ555,1
เสียจายยย,1
บาบีก้อนทำพิษ....,1
อยากได้แหะ,2
ของชอบบ ไป555,0
ทีเอมเคแดกได้,0
หนูหายปวดท้องรึยังคะ ดุด,1
ได้ๆๆๆเยย,0
แต่มันคือ Abscess จ้าาา,1
ได้เสมอ,0
ลองๆๆ,0
เทอเค้าอ้วงแย้ว😂,0
หาดใหญ่ป่ะ,2
ไม่ต้องเสียเวลาต้ม อิอิ,1
ตัวไม่มีบัตสมาชิก,1
ได้ๆๆค่ะ,0
พรุ่งนี้?,2
ขอบคุณคับ😍,0
เราฮาหั่นชิ้นเล็กเกินไป,1
จะอ๊วก,1
เง้อออินนิสฟรีหรอออ อ้ากก,1
จัดไปสิคะ..,0
จัดป้ะ555,2
แว๊น555,2
แสงโสม 😂,2
เหล้า 100 Pipers ไม่ชอบอัพเกรดเลย,1
ดูดีกว่า Yaris นะ มุมมองของผม,1
ไม่ชอบไม่ใช่รึ,1
กินกันเถอะ,0
ไปๆสนุกกัน,0
ไมาเหมือนที่ไปกินเลย บางเบา,1
ไปวันไหน,2
หรือบาบีก้อนน,0
ไปสี้,0
อยากนื,2
นั้นอ่ะดิรออยู่นะ,0
ชวยครับ,2
ว้อทมากก,2
แอ่กกก,1
ข้าลดความอ้วนอยู่เจ้าค่ะ,1
อยากกินบาบีกอนจัง,0
พวกมึงก็ขวางโลก,1
สวัสดีค่ะ,2
หืมมมมม,2
จะกินฮอตพอทนึกถึงมึง ไม่กินละ,1
กวนตีน,1
บ่ๆ,2
เสียเวลารอ,1
555555 สัสไปม่ะ,0
ตามดันๆๆ,0
อยากกกกกก,0
ไปไหม,2
สู้โว้ยยยยย,0
หมดไวเวอร,2
อยากกกิง,0
ต้องลองแล้วแหละ,0
อิ่ม,2
หมี,2
ใช้ได้จะ,0
ทางโน้นก็ให้มาเล่นทางนี้ T-T,1
ว้าววว,0
หราาาา,2
แมงสาบเต็มร้าน,1
ก๊อนหมูพอง,2
✌️✌️✌️,2
เอาหน่อย,2
ต้องจัดดดดดดดด,0
4ช่องนี่เสียเงินเพิ่มไหมค่ะ,1
สามีอยากไปกิน,0
เป็นกำลังใจให้ครับ,0
กุว่าตำรวจบางคนก็มีบุหรี่ไฟฟ้า,1
เสียตังเช่าชุดไทยไปอีก 555,1
คือ???,2
อยากกินบุพเฟ่,0
พวกคนแก่ชอบขวางโลก,0
ไปปป4555555,0
รสชาติดีคะ ชอบ.,0
เสียเต็มดีกว่า,1
ไปไหมแฟน,2
ไข่ม้วน😆,0
จิงคะ,1
จริงป่ะ,2
แต่ไม่กินลีโอได้มั้ยย 555,1
แงงง อยากกิน,0
ช่วงหลังไม่ได้ไปกิน mk เลยจ้า,1
ป้ะลอง,0
ขอบคุณนะคร้าบ :) <3,0
โรงงานยาสูบมันจ่ายมึงเท่าไหร่วะ ?,1
นี้ไงที่ตามหา,0
หูยยยย,0
ติดต่อยากจังครับ,1
ไม่กินหมูกะทะะะะะะ,1
ผ้าอนามัย,2
ของน้อยกว่าหมูทะข้างทางอีก,1
หูยยย์,2
ไม่กิน555,2
มาลองอันนี้ๆ,0
ค่าชุดแพงกว่าค่ากินอิ้กกก,1
มันน่าสน,2
จัดมั้ยเอง,0
ไม่กินลีโอ,1
เมื่อคืนไปทานมาไม่เห็นแจ้งอะไรเลย,1
ไม่ได้กินเนื้อ😀,1
เงินในกระเป๋าอ่ะไม่ไหวแล้ว555,1
ด้วยคนครับ,0
ได้ !,0
ไม่เห็นดอยสุเทพแล้วมั้งนั่น,1
พรบคู่ชีวิต คือมึงกั๊กหาอะไร,1
พน.ไปกินกันเถอะ,0
อาทิตย์นี้,2
กล่องข้าว,2
พวกขับ jazz นี่โง่ทุกคนเลยปะวะ,1
พาลูกชายไปกินหน่อย,0
รอก้อนตอบก้อนไม่มาตอบอ่ะ,1
โนนนน,0
แพงอยู่นะ,1
มาก,0
แม่บอก ไม่!,1
บาบีก้อนนนนน,0
ย่างกุ้ง,2
พอๆ กันเเหละ แพงกว่านิดเดียว,1
ลาดไหม,0
ใช่เลย,2
โปรโมชั่น,2
ก้อนใจร้าย ไม่มีชื่อไทยเลย 😭,1
สู้ๆครับผม,0
ไปๆๆวันไหน,0
ได้😃😃😄,0
แพงน่ะ,1
ว่าใง,2
เหมือนกัน,2
อยากกิน ก้อรีบหายดิอิเน่า🤣,1
ชายน้ำ,2
จากินนนน,2
เน็ตหัวควยมากครับ น้องฟ้า,1
ไม่เหนมีสี 05 เลยค่ะ,1
อยากไปมากกกกก,0
จนแต่ขับมาสด้า3ป้ายแดง?,1
น่าลอง,0
หิวเด้,2
ตู้วว,2
ไม่จ๊ะ,2
เปลือง,2
อยากได้อ่ะสั่งดีมะ,0
เซฟเลยมุง,2
น้องซื้อเลยจ้ะ,0
มหาชัย ไม่เห็นมี4หม้อ อะคะ,1
น่ากินมาก,0
ป่ะๆ แดก285 กัน,0
วันไหนครับ,2
กินๆ รอเงินออก,0
ราคาน่าสน😁,0
ไม่ใช่พยาธินะคะ แต่เป็นฝี 😨😨😨,1
หมดผโค้วต้าเดือนมีนาแล้วค่า,1
ยั่วๆ 😱,2
สำโรงไม่ใช่299. แย่เสียใจสุดๆ,1
ผมขอให้สำเร็จนะคับ,0
เป็ด3 ชิ้น,1
มาแหมล่ะ,2
ไปด้วยนะ,0
แค่ป๋องดำก็หัวทิ่มละ😂,1
กินช้างทีไรท้องเสียทุกที,1
มีแววว่าจะไม่ได้ไปนิสสัน...,1
ป่าวเล๊ยยย,0
บุหรี่ไฟฟ้าโทษยังหนักกวา,1
จะกินต้องใช้บัตรเรื่องเยอะ,1
จัดหน่อยไปๆๆ,0
ป้ะ ไปคลีนกัน,0
วันไหนบอกกกก,0
น่าลองๆ,0
Only 299,0
ชอบตอนลดราคา,0
ห่าน,2
ไอ้สังคมอักเสบมันโหนกระแสอีก,1
หุ้ยยย เซ็งอ่า,1
กินเบียร์ยูทีไร เมาเป็นหมาทุกที,1
อันไหนดี,0
กลับไปจัดเลย,0
ซื้อยังคะ,2
😁😁😁,0
ป่ะะ,0
600มล.,2
สุดยอด,0
อยากกินสิงห์ง่ะะะ,0
😍😍😍😍,0
หิวแต่ไม่อยากกินไก่แมคอะ กำ,1
ชอบเอ็มเค? ชอบไรน่ะ,0
ไปเลยม่ะ อิอิ,0
ไม่กินเป็ด,1
เมื่อไร,2
ไม่หร่อย,1
*ตัว,2
บุรี่ไฟฟ้า ปรับแค่ 20000,1
พี่โบว์ๆๆๆๆ,0
อื้อหือ,2
หื้มมมมมมๆๆๆเด็ด!!,0
ค่าาา,2
เงินออกจัดๆ555,0
จัดด่วนๆๆ,0
เพื่อนนี่ก็กินสิงห์กันไม่ได้,1
อยาก .-.,0
ยังไม่เข็ด อีกหรา,1
เลี้ยงน่ะ,2
💜💜💜,2
ว่าง22,2
ไอ้ห่าไม่มีชุดไทยยยยยยย,1
ไม่เอา ไม่อยาก,1
เราไม่กินลีโอ 555,1
ไฟมันแรงงง,2
อยากกินบาบีก้อนจัง,0
อร่อย,0
55+,2
ไปเสะ ป๊ายยยยยยย,0
รสชาติเปนยังไงคะ,0
เอาจริงดิ,2
ปะกินอีก,0
ไปมั้ยพรุ่งนี้,0
พาไปหน่อย😉😉😉😉,0
เรากินช้าง,0
สงสัยชอบกินลีโอมากกว่าสิงห์ 😢,1
กููดูล่ะ ไม่มี,1
เกิดไม่ทัน ไม่เข้าใจหรอก 55,1
เย้ๆ,2
hot pot บ้างไหม,0
ซีคอนกว่าจะเปิด....,1
นอน ชิวว,2
หึ KFC ดีก่า,1
มันไม่ถูกกดหมายบ้านเราจบ,1
คราวหน้า,2
สลีป,2
มึงนัดมา,0
ไปกินกันอีกไหม,0
ไปป่ะสาส,0
จัดแปะะ,2
ไม่ใช่รีฟิวพี่,1
เถอะ,2
ถ้าบุหรี่ไฟฟ้าอยู่ในบ้าน???,1
อยากๆๆ,0
งง,2
พานู๋ไปหน่อยจิ,0
อู้วว,2
น่ากิน 555,0
ไปเหอะ,0
เอาเลยครับสนับสนุน,0
เอยกลับวันไหน,0
เสียเวลาดูชิบหายยยผ้าอนามัย55555,1
แสงโสมแบนเดียวทำอะไรกูไม่ได้,1
แต่คือกุหิวไง. สัส. แท้กมาพาหิว,1
ชอบไม่ใช่หรอ,0
ไม่ไหวแล้วอยากฆ่าพี่ก้อน,1
จะพาไปกินป่าวว,0
วาวอร่อยกว่าสปายอีกจิงดิ 😁,1
อะแฮม,2
น่าโดนน,0
ต้องไปเช่าชุดอีกกกกก แพงกว่า 555,1
แล้วมึงก็จะเมาฟูลมูน​ คนเหี้ยไร--,1
จริงงง,2
ซื้อไปทำที่หอ,0
ก้อน จัดใหม่ด่วนเลย รออยู่,1
ทำซัลวาซูลตกแตก เสียใจมากอะ ฮือ,1
วันอาทิตเลย,0
จบข่าว,2
= หงษ์ทอง,2
แถวพระราม2ค่ะ,0
หิวใช่มะ,2
สเมอนอฟพี่ว่าไม่อร่อย 5555,1
ช่วยกุด้วย,2
หิววววเลย,0
จัดปาย เสาร์นี้🤤🤤,0
จริงอะ,2
ตัวได้เยอะ,2
แพ๊คของเรียบร้อยดี,0
เอออเอามาสด้าไปขายแม่ง,1
ลิ้นจี่,2
จัดไปค่ะแอด👍👌👌,0
หงส์ทองเลยอ่อ ไม่ไหว,1
ว้าวๆๆๆๆ,0
555555,2
เบียร์หมีไม่เห็นหร่อยเบย,1
ดีๆๆๆ,2
ให้มีตังก่อย,0
เจ้าหมู้ว,2
ชีสส😍,2
นี้นะ,0
อะเคจ้า,2
ไปใหม่ๆ555,0
เออดูอีกที,0
Ok,2
หิวละนะ55,2
อีสัส,1
เนาะ ๆ,2
ลองขับแล้วดีกว่า HRVและจู้ด,1
*จัดให้หน่อยสิ,0
ชวนกินจัง,2
มาดูไฟสวยๆ แต่ดันเจอโคโยตี้,1
ความสูงเกินค่ะ,1
ใน ตจว บ่มี5555,1
แดกจ้าาา,0
เงียบเลย5555,0
ไม่ต้องแหลกละลำคาน,1
เย้ยยยย,2
พนไปเลยย,0
ง่ะะ,2
จัดดิๆ,0
แง่มมมม,2
เบาๆ,2
TOYOTA C-HR,2
เก็บตังไปกินกัน555,0
หมอนรองคอ,2
สาขากาญจน์ของก็คงน้อยตามเคย,1
นั่นนะสิ ลำบากมากเลยทีเดียว,1
บอกให้เลี้ยง,0
เลี้ยงกู,0
หยุดจ้ะ,2
หายอยากบาบีก้อนเลยอีเวนเอ้ย,1
ไปๆๆๆๆๆๆๆกันนะ,0
ลาก่อนบาบิก้อนแสนรักของชั้น!!,1
จ-ศอะ,2
ไปป่าวละ,0
หิวมั้ย,2
sangsom??,2
ขอบคุณค้า ☺️☺️☺️☺️,0
ตาแซบคัก,2
ไปลองไหม,0
กลัวววว,2
😯😯,2
ขอพูดว่าเชียงใหม่,0
พาไปกินหน่อยๆ,0
เอาสิๆ,2
เลี้ยงเลย,2
จัดปุยย,0
หราาาาา~,2
หาอีกคน,0
ล่า!,2
Nooooo,1
ปะปัยกัน.,0
379,2
😒,2
โป้งแอดมิน โปรนี้ไม่มีพิษณุโลก😢,1
สาขาพระราม2ไม่มีสิน่า อดกิน,1
ใจไม่ดีเลย,0
ม่ายๆๆๆๆ,0
กาวผ้าอนามัยคือเสื่อมหรอคะ,1
ทันพอดี,0
ทุกแท่ง,2
อยากกิน5555,0
อ่าวไปไหน,2
อยากอะ,0
อาทิตย์หน้าไหม ละ,0
กินคริสตัลเหมือนกัน เลิกกินสิงห์,1
ค้าบบ,2
คนละ250,2
วันนี้,2
แต่มีหนอง ??? จากผลอ่านพยาธิ,1
ไปกินกันนะคะ,0
พาแม่ไปสิ,2
มื้อเที่ยงฮะ,0
มีให้ค่ะ,2
กลับปีใหม่,0
22 จ้า,2
ทันมะละ,2
มาแล้วๆ,2
จ๊ะๆ,2
พุธและ ป่ะๆๆๆ,0
ได้ค้าบได้ รอพอทจังก่อนน้า T^T,1
แม่งเอ้ย ขอนแก่นไม่มี,1
Mu x ค่ะ,2
พาไปกินหน่อย😊😊,0
บุฟๆๆๆๆ,2
สู้ๆนะคร้าฟผมๆๆๆๆๆ,0
โคตรเกลียดแท็กซี่สูบบุหรี่อ่ะ,1
แขบๆหลบ,2
จะกินหรอจ๊ะ,0
ไปปะ,0
พรรคสามัญชนคือนูกูมาก,1
แท็กอีกล้าวอิเหี้ยยยย,1
วันไหนน นัดมาลุยยย,0
ยาริสตัวใหม่งามม,0
ทุกวัน,2
เลี้ยง,2
ตอนนี้ลีโอก็แดกๆไปเถอะอีเหี้ย,1
wม่เนือยที,2
พน เลย,0
ไม่เอา,1
ลองไหม55,2
เบียร์ช้างขวดละ 120บาท !!!!!!!!,1
นี่ดีกว่า,2
ซื้อสิ,2
Goๆ,0
คุณขาา,2
กินไม่เปน,1
งงมาก เรดสามแก้วเริ่มเมาละ,1
นี่ไง!!!,0
Mu X ค้ะ,2
🤩🤩,0
มันคงสู้ พิษซ่า ไม่ได้หลอก,1
ไม่กล้ากินบาบีก้อนเลยยย,1
บุหรี่​จริงยังคุมไม่ได้เลย,1
โอ้ยยยยยย 😢😢,0
55555 ไหนสายเปยเค้า,0
เยดด 555,2
ในรูปกับความเป็นจริง,1
กูลองแล้ว,2
มีภาพปลากรอบมั้ย,1
ข้าไม่กล้าแต่งชุดไทยไปกิน 555,1
ไม่กินเบียร์ช้าง,1
เฟลอีกแล้ว,2
ต้องพาน้องจิไปกิน,0
อันนี้น่ากินอ่ะ,0
ไม่อาวชุดไทย55,1
ชุมพร มั้ง,2
😗,2
ใสๆ,2
กิน55,0
หวัดีครับ,2
จัดม่ะ,2
อย่าไปกินเลย ขาดทุน ม่ายของ,1
ภาพหมูบาบีก้อนติดตามาก เอื้อออ~,1
มาปักด้วย,2
ต้องโดนไอ้สัสนี่,1
ต้องกินล้าววว,0
สั่งกลับบ้านก้ไม่ได้~~ งือ,1
หิวๆๆ,0
จัดเรย,2
ไป ไปหมดอะสัส อยาก,0
สงสัยเอ็มเคแน่ๆ,0
ปะกินกานนนน,0
ม่ายยย ผลาญเงินข้าเหลือเกิน,1
เอาฮอตพอท,2
หิวหนมมมมม,2
ศูนย์เคลมมีแค่ในกรุงเทพ,1
มานี่ๆๆๆ,0
อันนี้น้ำจิ้มไม่อร่อย,1
ว่าแล้วชอบใช้ยาริส,0
โซฟีกาวแปะไม่เคยติดเลย,1
หยักกิง,2
เด๋วเลี้ยง,2
343ค่ะ,2
ได้ค่าาา ^^,0
เย่,0
ทำไมอุดรไม่มีปิ้งย่างบ้างคะ,1
ข้าวเที่ยงเรา,0
Mazda2,2
น่ากินจิมๆๆ,0
อยากกินมาก,0
= =,2
รัฐไม่ยอมไง กินภาษีมืดอยุ่,1
😔,1
นี่ปีชงหรือซีวิคมันงอน...,1
ดูเด้,0
ยังกล้ากินอยู่รึป่าววววววววว,1
มาๆเช็นทัล ...555,0
โกๆ,2
คิดถึงจัง,2
อ้าวหรอ,2
ดีงามยกเซ็ต,0
สตูล,2
กูเบื่อกาวผ้าอนามัยว่ะอีเหี้ย,1
หื้อออ,2
แหมมม,2
199 อ่า,2
ด้วยรักจากแสงโสม,0
ปะ 55,0
ต้องกินนะ,2
สู้ๆคะ💪💪✊,0
หิววววว,2
เสาร์นี้กะ,0
เลี้ยงเส้,2
แสงโสมมม,2
Kulov มันแรงเกินบอกได้เลยอวก,1
ขอบคุนมากคับนักสู้,0
เอาใจช่วยนะครับพี่,0
ถูกใจอีออยเลยยยยย,0
หน้าคุ้น,2
เทออออ,2
ไม่มีขนมจีบแล้วเหรอครับ,1
ไป อยากจังแล้วนิ,0
เลี้ยงหรา,2
กินอีกละ,2
อดชิ งั้นอ่ะ,1
งื้ออออ มะไรดีๆ,0
ไม่อยากกิน,1
จัดไหมมมมม,2
เด็กอ้วน,2
มึงงาม.อิ,2
ดีนะเราไม่กินช้าง,1
ยั๊กดั๊ยยย,0
ไปๆๆๆๆๆ,0
ต้องลอง555,0
เลี้ยงเหรอ,2
ทิดหน้าเถอะ,0
พะเยาไม่ร่วมรายการง่ะเธออ😭,1
สนใจวีออด นะค่ะ,0
ส่งท้ายปี,2
นาวาร่า7.9,2
วันไหนจัดมา,0
มันจะยังไง,2
เป็ดย่างMK,2
หลาบจิง,2
ที่ไหน,2
รอคะๆๆ,0
น่ากินดีอ่ะพี่,0
ไม่มีสาขามุก จอบอ😂,1
อ่อๆเคร,2
มุ่ยอิ่ม,2
อยากแดกแสงมากกว่า,0
ใช่คับ,2
มารับ,2
ซื้อยังไง,2
เคร,2
ผมก็เห็นด้วยครับ,0
Go!!,0
วิ่งเสร็จจัดเลย,0
แถวบ้านเลย,0
การเงินลา,2
น่าสนๆ^^,0
กูจะเลิกใช้โซฟี!!!!,1
เย้,2
เพิ่งกินมา แต่ไม่ลด แม่ง!,1
☝️☝️☝️☝️,2
ไปหาผ้ามาขาย,0
จิ๊บๆ,2
หมอคนเดียวไอ่ห่าปกป่ะครับ,1
นักเกตตตต,2
อยากๆ,0
สู้ๆนะครับ,0
จัดปายยยย,0
รออะไรอ่ะ,2
น่ารักดี,0
ได้ของครบค่ะ,0
ใต้หวัน555,2
ประสาททท,2
🙂,0
จัดๆๆ,0
ลด 20%,2
จัดเลย,0
กลับมาทันไหม,0
พน. เลยยย,0
=+1 ตุ๊ก,2
ไปด้วย,0
อยากดื่มน้ำสิงห์,0
ฉลองโดนหวยกิน,0
ตอกไข่คุ้มครับ,0
โอ้ยยยยไม่กินนนนน น่ากินตรงไหนนนน,1
ไม่ใช่แระ,2
เนาะว่าไหม,2
ไปกินกันเตอะ,0
ว่างวันไหนบอกมา,0
มั่วแต่จ้องจะจับแต่บุหรี่ไฟฟ้า,1
แสงโสม❤❤,2
ส่งไม่เห็นขึ้นเลยคะ ทาง inbox,1
สาสสสส พูดเรื่องเงินแล้วปวดใจชิบ,1
ยอดเยี่ยม,0
น้องว้อน,0
